ID,rank,discipline,yrs.since.phd,yrs.service,sex,salary,sex
1,Prof,B,19,18,1,139750,1
2,Prof,B,20,16,1,173200,1
3,AsstProf,B,4,3,1,79750,1
4,Prof,B,45,39,1,115000,1
5,Prof,B,40,41,1,141500,1
6,AssocProf,B,6,6,1,97000,1
7,Prof,B,30,23,1,175000,1
8,Prof,B,45,45,1,147765,1
9,Prof,B,21,20,1,119250,1
10,Prof,B,18,18,2,129000,2
11,AssocProf,B,12,8,1,119800,1
12,AsstProf,B,7,2,1,79800,1
13,AsstProf,B,1,1,1,77700,1
14,AsstProf,B,2,0,1,78000,1
15,Prof,B,20,18,1,104800,1
16,Prof,B,12,3,1,117150,1
17,Prof,B,19,20,1,101000,1
18,Prof,A,38,34,1,103450,1
19,Prof,A,37,23,1,124750,1
20,Prof,A,39,36,2,137000,2
21,Prof,A,31,26,1,89565,1
22,Prof,A,36,31,1,102580,1
23,Prof,A,34,30,1,93904,1
24,Prof,A,24,19,1,113068,1
25,AssocProf,A,13,8,2,74830,2
26,Prof,A,21,8,1,106294,1
27,Prof,A,35,23,1,134885,1
28,AsstProf,B,5,3,1,82379,1
29,AsstProf,B,11,0,1,77000,1
30,Prof,B,12,8,1,118223,1
31,Prof,B,20,4,1,132261,1
32,AsstProf,B,7,2,1,79916,1
33,Prof,B,13,9,1,117256,1
34,AsstProf,B,4,2,1,80225,1
35,AsstProf,B,4,2,2,80225,2
36,AsstProf,B,5,0,2,77000,2
37,Prof,B,22,21,1,155750,1
38,AsstProf,B,7,4,1,86373,1
39,Prof,B,41,31,1,125196,1
40,AssocProf,B,9,9,1,100938,1
41,Prof,B,23,2,1,146500,1
42,AssocProf,B,23,23,1,93418,1
43,Prof,B,40,27,1,101299,1
44,Prof,B,38,38,1,231545,1
45,Prof,B,19,19,1,94384,1
46,Prof,B,25,15,1,114778,1
47,Prof,B,40,28,1,98193,1
48,Prof,B,23,19,2,151768,2
49,Prof,B,25,25,2,140096,2
50,AsstProf,B,1,1,1,70768,1
51,Prof,B,28,28,1,126621,1
52,Prof,B,12,11,1,108875,1
53,AsstProf,B,11,3,2,74692,2
54,Prof,B,16,9,1,106639,1
55,AssocProf,B,12,11,1,103760,1
56,AssocProf,B,14,5,1,83900,1
57,Prof,B,23,21,1,117704,1
58,AssocProf,B,9,8,1,90215,1
59,AssocProf,B,10,9,1,100135,1
60,AsstProf,B,8,3,1,75044,1
61,AssocProf,B,9,8,1,90304,1
62,AsstProf,B,3,2,1,75243,1
63,Prof,B,33,31,1,109785,1
64,AssocProf,B,11,11,2,103613,2
65,AsstProf,B,4,3,1,68404,1
66,AssocProf,B,9,8,1,100522,1
67,Prof,B,22,12,1,101000,1
68,Prof,B,35,31,1,99418,1
69,Prof,B,17,17,2,111512,2
70,Prof,B,28,36,1,91412,1
